question,correct_answer
"Which service provides a way to convert video and audio files from their source format into versions that will playback on devices like smartphones, tablets and PCs?", "1: Amazon Elastic Transcoder" [66]
"Which of the following are design principles for reliability? (Select TWO)", "Automatically recover from failure, Manage change in automation" [67]
"Which AWS support plan comes with a Technical Account Manager (TAM)?", "4: Enterprise" [67]
"Which service can be used to create sophisticated, interactive graph applications?", "2: Amazon Neptune" [68]
"When using Amazon IAM, what authentication methods are available to use? (Select TWO)", "2: Access keys 4: Server certificates" [69]
"Which Amazon EC2 Reserved Instance type enables you to match your capacity reservation to predictable recurring dates and times?", "3: Scheduled RI" [70]
"What is the best way to apply an organizational system to EC2 instances so they can be identified by descriptors such as purpose or department?", "3: Apply tags" [71]
"Which service can be used to easily create multiple accounts?", "3: AWS Organizations" [72]
"You have been running an on-demand Amazon EC2 instance running Linux for 4hrs, 5 minutes and 6 seconds. How much time will you be billed for?", "3: 4hrs, 5mins, and 6 seconds" [73]
"Which AWS tools can be used for automation? (Select TWO)", "1: AWS Elastic Beanstalk 3: AWS CloudFormation" [74]
"Which AWS service should be used to create a billing alarm?", "3: Amazon CloudWatch" [75]
"How can consolidated billing within AWS Organizations help lower overall monthly expenses?", "2: By pooling usage across multiple accounts to achieve a pricing tier discount" [75]
"Which Amazon EC2 pricing model should be used to comply with per-core software license requirements?", "1: Dedicated Hosts" [76]
"Which of the following are advantages of the AWS Cloud? (Select TWO)", "1: AWS manages the maintenance of the cloud infrastructure 3: AWS manages capacity planning for physical servers" [76]
"The ability to horizontally scale Amazon EC2 instances based on demand is an example of which concept?", "2: Elasticity" [77]
"Which AWS service provides a quick and automated way to create and manage AWS accounts?", "3: AWS Organizations" [77]
"Which tool can be used to create alerts when the actual or forecasted cost of AWS services exceed a certain threshold?", "2: AWS Budgets" [77]
"A user has an AWS account with a Business-level AWS Support plan and needs assistance with handling a production service disruption. Which action should the user take?", "4: Open a production system down support case" [78]
"Which type of AWS Storage Gateway can be used to backup data with popular backup software?", "3: Gateway Virtual Tape Library" [78]
"You would like to collect custom metrics from a production application every 1 minute. What type of monitoring should you use?", "1: CloudWatch with detailed monitoring" [79]
"What billing timeframes are available for Amazon EC2 on-demand instances? (Select TWO)", "3: Per hour 5: Per second" [79]
"Which Amazon EC2 pricing option provides significant discounts for fixed term contracts?", "1: Reserved Instances" [79]
"When using Amazon RDS databases, which items are you charged for? (Select TWO)", "2: Multi AZ 5: Outbound data transfer" [80]
"How are AWS Lambda functions triggered?", "1: Events" [80]
"Which tool can be used to provide real time guidance on provisioning resources following AWS best practices?", "1: AWS Trusted Advisor" [80]
"Which of the following are architectural best practices for the AWS Cloud? (Select TWO)", "1: Deploy into multiple Availability Zones 4: Design for fault tolerance" [81]
"To reduce the price of your Amazon EC2 instances, which term lengths are available for reserved instances? (Select TWO)", "2: 1 year 5: 3 years" [81]
"What are the fundamental charges for Elastic Block Store (EBS) volumes? (Select TWO)", "1: The amount of data storage provisioned 4: Provisioned IOPS" [81]
"Which of the below are components that can be configured in the VPC section of the AWS management console? (Select TWO)", "2: Subnet 3: Endpoints" [82]
"Which of the following is a benefit of moving to the AWS Cloud?", "2: Pay for what you use" [82]
"In addition to DNS services, what other services does Amazon Route 53 provide? (Select TWO)", "3: Health checking 5: Traffic management" [82]
"Which service can be added to a database to provide improved performance for some requests?", "3: Amazon ElastiCache" [83]
"Which service can be used to assign a policy to a group?", "1: AWS IAM" [83]
"Which AWS service lets you add user sign up, sign-in and access control to web and mobile apps?", "2: Amazon Cognito" [83]
"What is the difference between an EBS volume and an Instance store?", "2: Instance store volumes are ephemeral whereas EBS volumes are persistent storage" [83]
"What are two components of Amazon S3? (Select TWO)", "1: Buckets 3: Objects" [84]
"Which of the below are good use cases for a specific Amazon EC2 pricing model? (Select TWO)", "1: Reserved instances for steady state predictable usage 3: On-demand for ad-hoc requirements that cannot be interrupted" [84]
"Which of the following is an architectural best practice recommended by AWS?", "2: Design for failure" [85]
"What is the scope of an Amazon Virtual Private Cloud (VPC)?", "2: It spans all Availability Zones within a region" [85]
"Which AWS service allows you to automate the evaluation of recorded configurations against desired configuration?", "4: AWS Config" [85]
"What is one of the core principles of operational excellence? (Select TWO)", "Test recovery procedures, Stop guessing about capacity" [86]
"Which of the following need to be included in a total cost of ownership (TCO) analysis? (Select TWO)", "2: Facility equipment installation 5: Data center security costs" [86]
"What does an organization need to do to move to another AWS region?", "1: Just start deploying resources in the additional region" [86]
"Which Compute service should be used for running a Linux operating system upon which you will install custom software?", "1: Amazon EC2" [86]
"Which storage type can be mounted using the NFS protocol to many EC2 instances simultaneously?", "4: Amazon EFS" [87]
"An organization has multiple AWS accounts and uses a mixture of on-demand and reserved instances. One account has a considerable amount of unused reserved instances. How can the organization reduce their costs? (Select TWO)", "1: Create an AWS Organization configuration linking the accounts 4: Setup consolidated billing between the accounts" [88]
"A company needs protection from distributed denial of service (DDoS) attacks on its website and assistance from AWS experts during such events. Which AWS managed service will meet these requirements?", "1: AWS Shield Advanced" [89]
"A Cloud Practitioner needs to rapidly deploy a popular IT solution and start using it immediately. What should the Cloud Practitioner use?", "4: AWS Quick Start reference deployments" [89]
"A cloud practitioner needs to decrease application latency and increase performance for globally distributed users. Which services can assist? (Select TWO)", "4: Amazon ElastiCache 5: Amazon CloudFront" [90]
"An application that is deployed across multiple Availability Zones could be described as:", "1: Being highly available" [90]
"A Cloud Practitioner is developing a disaster recovery plan and intends to replicate data between multiple geographic areas. Which of the following meets these requirements?", "2: AWS Regions" [90]
"Which of the following statements is correct about Amazon S3 cross-region replication?", "3: S3 buckets configured for cross-region replication can be owned by a single AWS account or by different accounts" [91]
"Which of the following must be used together to gain programmatic access to an AWS account? (Select TWO)", "1: An access key ID 3: A secret access key" [91]
"Which AWS support plan provides email only support by Cloud Support Associates?", "2: Developer" [92]
"Which AWS service can be used to prepare and load data for analytics using an extract, transform and load (ETL) process?", "2: AWS Glue" [92]
"Which of the following are advantages of using the AWS cloud computing over legacy IT? (Select TWO)", "2: You don't need to worry about over provisioning as you can elastically scale 4: You can bring new applications to market faster" [92]
"Which service is used for caching data?", "2: Amazon DynamoDB DAX" [93]
"Which service allows an organization to bring their own licensing on host hardware that is physically isolated from other AWS accounts?", "3: EC2 Dedicated Hosts" [93]
"Which service is used introduce fault tolerance into an application architecture?", "2: Elastic Load Balancing" [93]
"How can a company protect their Amazon S3 data from a regional disaster?", "2: Use Cross-Region Replication (CRR) to copy to another region" [94]
"What offerings are included in the Amazon LightSail product set? (Select TWO)", "1: Virtual Private Server 3: Managed MySQL database" [95]
"When designing a VPC, what is the purpose of an Internet Gateway?", "2: Enables Internet communications for instances in public subnets" [95]
"Which AWS components aid in the construction of fault-tolerant applications? (Select TWO)", "1: Elastic IP addresses  5: Block device mappings" [96]
"What charges are applicable to Amazon S3 Standard storage class? (Select TWO)", "1: Per GB/month storage fee 5: Data egress" [96]
"Which service can you use to monitor, store and access log files generated by EC2 instances and on-premises servers?", "3: Amazon CloudWatch Logs" [96]
"Which DynamoDB feature provides in-memory acceleration to tables that result in significant performance improvements?", "2: Amazon DynamoDB Accelerator (DAX)" [97]
"Which type of Amazon RDS automated backup allows you to restore the database with a granularity of as little as 5 minutes?", "4: Point-in-time recovery" [97]
"A developer needs a way to automatically provision a collection of AWS resources. Which AWS service is primarily used for deploying infrastructure as code?", "2: AWS CloudFormation" [97]
"What is the name of the AWS managed Docker registry service used by the Amazon Elastic Container Service (ECS)?", "1: Elastic Container Registry" [98]
"Which support plan is the lowest cost option that allows unlimited cases to be open?", "2: Developer" [98]
"Which AWS service can be used to send automated notifications to HTTP endpoints?", "3: Amazon SNS" [98]
"What feature of Amazon S3 enables you to set rules to automatically transfer objects between different storage classes at defined time intervals?", "2: Object Lifecycle Management" [99]
"What are two benefits of using AWS Lambda? (Select TWO)", "1: No servers to manage 3: Continuous scaling (scale out)" [99]
"Which AWS services form the app-facing services of the AWS serverless infrastructure? (Select TWO)", "2: AWS Lambda 3: Amazon API Gateway" [99]
"Which type of storage stores objects comprised of key, value pairs?", "4: Amazon S3" [100]
"Which AWS service lets connected devices easily and securely interact with cloud applications and other devices?", "3: AWS IoT Core" [100]
"Under the AWS Shared Responsibility Model, which of the following is the customer NOT responsible for?", "4: Installing firmware updates on host servers" [100]
"What are the primary benefits of using AWS Elastic Load Balancing? (Select TWO)", "1: High availability 2: Elasticity" [101]
"A company wants to utilize a pay as you go cloud model for all of their applications without CAPEX costs and which is highly elastic. Which cloud delivery model will suit them best?", "1: Public" [101]
"What is the name of the online, self-service portal that AWS provides to enable customers to view reports and, such as PCI reports, and accept agreements?", "3: AWS Artifact" [101]
"How can you configure Amazon Route 53 to monitor the health and performance of your application?", "2: Using Route 53 health checks" [102]
"With which service can a developer upload code using a ZIP or WAR file and have the service handle the end-to-end deployment of the resources?", "2: AWS Elastic Beanstalk" [102]
"Which of the following would be good reasons to move from on-premises to the AWS Cloud? (Select TWO)", "2: Reduce costs through easier right-sizing of workloads 3: Improve agility and elasticity" [102]
"Which service runs your application code only when needed without needing to run servers?", "3: AWS Lambda" [103]
"Which AWS feature of Amazon EC2 allows an administrator to create a standardized image that can be used for launching new instances?", "3: Amazon Machine Image" [103]
"What information must be entered into the AWS TCO Calculator?", "4: The number of servers in your company" [103]
"Which AWS security service provides a firewall at the subnet level within a VPC?", "4: Network Access Control List" [104]
"Which services allow you to store files on AWS? (Select TWO)", "3: Amazon EBS 4: Amazon EFS" [104]
"Which AWS program can help an organization to design, build, and manage their workloads on AWS?", "1: APN Consulting Partners" [104]
"The AWS Cost Management tools give users the ability to do which of the following? (Select TWO)", "2: Break down AWS costs by day, service, and linked AWS account 3: Create budgets and receive notifications if current or forecasted usage exceeds the budgets" [105]
"Which AWS service can serve a static website?", "1: Amazon S3" [106]
"A startup eCommerce company needs to quickly deliver new website features in an iterative manner, minimizing the time to market. Which AWS Cloud feature allows this?", "3: Agility" [106]
"What is the most efficient way to establish network connectivity from on-premises to multiple VPCs in different AWS Regions?", "4: Use an AWS Transit Gateway" [106]
"What is the name for the top-level container used to hold objects within Amazon S3?", "4: Bucket" [107]
"Which of the following are examples of horizontal scaling? (Select TWO)", "2: Add more instances as demand increases  4: Automatic using services such as AWS Auto Scaling" [107]
